id,name,mode,line_number
235,Bay Station,SUBWAY,2
246,Union Station,SUBWAY,1
317,Bayview Station,SUBWAY,4
760,College Station,SUBWAY,"1,6"
776,Christie Station,SUBWAY,2
841,Queen's Park Station,SUBWAY,1
1027,Dupont Station,SUBWAY,1
1234,Lawrence Station,SUBWAY,1
1456,Museum Station,SUBWAY,"1,5"
1594,York University,SUBWAY,1
1677,Yorkdale Station,SUBWAY,1
2013,Dufferin Station,SUBWAY,2
2136,TMU Station,SUBWAY,1
2193,St Patrick Station,SUBWAY,1
3106,Downsview Park Station,SUBWAY,1
3212,Finch Station,SUBWAY,"1,6"
3213,Bloor Station,SUBWAY,1
3219,Rosedale Station,SUBWAY,1
3234,King Station,SUBWAY,1
3238,Queen Station,SUBWAY,1
3245,Wellesley Station,SUBWAY,1
3539,Kennedy Station,SUBWAY,"2,5"
3665,Glencairn Station,SUBWAY,1
4408,Lansdowne Station,SUBWAY,2
6858,Osgoode Station,SUBWAY,1
7204,Leslie Station,SUBWAY,4
7275,Sheppard West Station,SUBWAY,1
7308,Sherbourne Station,SUBWAY,2
8953,Summerhill Station,SUBWAY,1
8977,Eglinton Station,SUBWAY,"1,5"
8984,North York Centre Station,SUBWAY,1
9053,St Clair Station,SUBWAY,1
9065,York Mills Station,SUBWAY,1
9126,Don Valley Station,LRT,5
9149,Finch West Station,SUBWAY,"1,6"
9895,Cedarvale Station,SUBWAY,"1,5"
11376,Victoria Park Station,SUBWAY,2
11780,Keele Station,SUBWAY,2
12202,Lawrence West Station,SUBWAY,1
13677,Bessarion Station,SUBWAY,4
13731,Warden Station,SUBWAY,2
13735,Main Street Station,SUBWAY,2
13737,Woodbine Station,SUBWAY,2
13739,Coxwell Station,SUBWAY,2
13741,Greenwood Station,SUBWAY,2
13743,Donlands Station,SUBWAY,2
13745,Pape Station,SUBWAY,2
13747,Chester Station,SUBWAY,2
13749,Broadview Station,SUBWAY,2
13751,Castle Frank Station,SUBWAY,2
13755,Yonge Station,SUBWAY,"1,2,4"
13759,Bathurst Station,SUBWAY,2
13763,Ossington Station,SUBWAY,2
13769,Dundas West Station,SUBWAY,2
13773,High Park Station,SUBWAY,2
13775,Runnymede Station,SUBWAY,2
13777,Jane Station,SUBWAY,2
13779,Old Mill Station,SUBWAY,2
13781,Royal York Station,SUBWAY,2
13783,Islington Station,SUBWAY,2
13785,Kipling Station,SUBWAY,2
13797,Davisville Station,SUBWAY,1
13817,St Andrew Station,SUBWAY,1
13829,St Clair West Station,SUBWAY,1
13839,Wilson Station,SUBWAY,1
13851,Spadina Station,SUBWAY,"1,2"
13855,St George Station,SUBWAY,"1,2"
13859,Sheppard-Yonge Station,SUBWAY,"1,4"
14109,Don Mills Station,SUBWAY,4
15571,Pioneer Village Station,SUBWAY,1
15660,Highway 407 Station,SUBWAY,1
15662,Vaughan Metropolitan Centre Station,SUBWAY,1
16067,Mount Dennis Station,LRT,5
16071,Avenue Station,LRT,5
16075,Laird Station,LRT,5
16079,Sloane Station,LRT,5
16083,Caledonia Station,LRT,5
16085,Golden Mile Station,LRT,5
16202,Keelesdale Station,LRT,5
16204,Fairbank Station,LRT,5
16206,Oakwood Station,LRT,5
16208,Forest Hill Station,LRT,5
16210,Chaplin Station,LRT,5
16212,Mount Pleasant Station,LRT,5
16214,Leaside Station,LRT,5
16216,Sunnybrook Park Station,LRT,5
16218,Aga Khan Park & Museum Station,LRT,5
16220,Wynford Station,LRT,5
16222,O'Connor Station,LRT,5
16224,Pharmacy Station,LRT,5
16226,Hakimi Lebovic Station,LRT,5
16228,Birchmount Station,LRT,5
16230,Ionview Station,LRT,5
16289,Humber College Station,LRT,6
16291,Westmore Station,LRT,6
16293,Martin Grove Station,LRT,6
16295,Albion Station,LRT,6
16297,Stevenson Station,LRT,6
16299,Mount Olive Station,LRT,6
16301,Rowntree Mills Station,LRT,6
16303,Pearldale Station,LRT,6
16305,Duncanwoods Station,LRT,6
16307,Milvan Rumike Station,LRT,6
16309,Emery Station,LRT,6
16311,Signet Arrow Station,LRT,6
16313,Norfinch Oakdale Station,LRT,6
16315,Jane and Finch Station,LRT,6
16317,Driftwood Station,LRT,6
16319,Tobermory Station,LRT,6
16321,Sentinel Station,LRT,6
